sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-FD-A3B7-01	828.6924835	1211.661052	2040.353536
TCGA-FD-A3B8-01	1122.870711	1752.12781	2874.998521
TCGA-FD-A3N5-01	-1497.420804	-477.517463	-1974.938267
TCGA-FD-A3N6-01	-1523.02589	-512.0759895	-2035.101879
TCGA-FD-A3NA-01	-872.5406333	-256.223793	-1128.764426
TCGA-FD-A3SJ-01	-794.540637	-1010.912576	-1805.453213
TCGA-FD-A3SL-01	592.5043262	-228.793501	363.7108251
TCGA-FD-A3SM-01	-360.1423195	-911.3269718	-1271.469291
TCGA-FD-A3SN-01	-865.8699892	-683.9556351	-1549.825624
TCGA-FD-A3SO-01	-117.0946645	133.0323598	15.93769537
TCGA-FD-A3SP-01	1141.649246	903.7400054	2045.389252
TCGA-FD-A3SQ-01	300.2501117	-91.28716677	208.9629449
TCGA-FD-A3SR-01	-125.9964835	-7.857123004	-133.8536065
TCGA-FD-A3SS-01	-1483.231411	-1161.583096	-2644.814507
TCGA-FD-A43N-01	-549.8069804	-623.2969322	-1173.103913
TCGA-FD-A43P-01	-833.4596569	890.8027034	57.34304645
TCGA-FD-A43S-01	345.6734421	1350.577208	1696.250651
TCGA-FD-A43U-01	598.2762748	1391.071112	1989.347386
TCGA-FD-A43X-01	-2259.831953	-1273.187527	-3533.019479
TCGA-FD-A43Y-01	-493.8480653	-89.69486154	-583.5429268
TCGA-FD-A5BR-01	-680.7904069	14.98750283	-665.8029041
TCGA-FD-A5BS-01	1204.972728	2536.882733	3741.855461
TCGA-FD-A5BT-01	1057.239738	1549.687649	2606.927387
TCGA-FD-A5BU-01	-88.55766258	367.4058518	278.8481892
TCGA-FD-A5BV-01	-1595.492716	-1299.349533	-2894.842249
TCGA-FD-A5BX-01	309.0723626	942.4971695	1251.569532
TCGA-FD-A5BY-01	-797.3095218	-485.4218362	-1282.731358
TCGA-FD-A5BZ-01	535.303846	-755.8149021	-220.5110562
TCGA-FD-A5C0-01	-1034.950043	-670.9912802	-1705.941323
TCGA-FD-A5C1-01	82.28834028	858.3348624	940.6232027
TCGA-FD-A62N-01	828.2156121	2271.173607	3099.389219
TCGA-FD-A62O-01	-1337.842771	-1274.481603	-2612.324374
TCGA-FD-A62P-01	-422.7116295	209.6361386	-213.0754909
TCGA-FD-A62S-01	694.023861	475.6402574	1169.664118
TCGA-FD-A6TA-01	1.186722215	263.6963242	264.8830464
TCGA-FD-A6TB-01	63.51920709	937.366244	1000.885451
TCGA-FD-A6TC-01	-257.5681647	-791.6934357	-1049.2616
TCGA-FD-A6TD-01	-239.0379491	568.9813595	329.9434104
TCGA-FD-A6TE-01	-2381.88834	-899.9792772	-3281.867617
TCGA-FD-A6TF-01	-81.11311039	-589.1243113	-670.2374217
TCGA-FD-A6TG-01	30.08719983	-144.9570987	-114.8698988
TCGA-FD-A6TH-01	-453.8736949	-803.0532958	-1256.926991
TCGA-FD-A6TI-01	-1265.775159	-903.7633594	-2169.538518
TCGA-FD-A6TK-01	359.8941679	543.4742513	903.3684192
TCGA-FJ-A3Z7-01	-335.0422089	-560.1640272	-895.2062361
TCGA-FJ-A3Z9-01	-2287.048485	-1461.463349	-3748.511834
TCGA-FJ-A3ZE-01	-2408.185672	-1695.929932	-4104.115604
TCGA-FJ-A3ZF-01	-2134.357088	-1750.927273	-3885.284361
TCGA-FJ-A871-01	-1289.187389	-1338.516291	-2627.70368
TCGA-FT-A3EE-01	-1567.53539	-1062.599431	-2630.134821
TCGA-FT-A61P-01	177.1979119	209.7865152	386.9844271
TCGA-G2-A2EC-01	-212.361554	-130.6269293	-342.9884834
TCGA-G2-A2EF-01	-1117.290101	646.9380712	-470.3520294
TCGA-G2-A2EJ-01	-1782.486786	-426.6155196	-2209.102305
TCGA-G2-A2EK-01	-1423.310258	-610.4491226	-2033.759381
TCGA-G2-A2EL-01	-2301.196171	-2337.109175	-4638.305346
TCGA-G2-A2EO-01	-150.9198114	297.8918394	146.972028
TCGA-G2-A2ES-01	-590.3567605	-71.1888584	-661.5456189
TCGA-G2-A3IB-01	-1858.861326	-906.8907033	-2765.752029
TCGA-G2-A3IE-01	-1741.482432	-1018.608157	-2760.090588
TCGA-G2-A3VY-01	-2374.726478	-1680.661699	-4055.388177
TCGA-G2-AA3B-01	-2264.702581	-589.6799158	-2854.382497
TCGA-G2-AA3C-01	-262.817949	1246.77927	983.9613212
TCGA-G2-AA3D-01	-2535.697143	-1171.717424	-3707.414568
TCGA-G2-AA3F-01	-1588.60583	-1334.340734	-2922.946564
TCGA-GC-A3BM-01	-1994.157309	-857.4967625	-2851.654072
TCGA-GC-A3I6-01	-1036.644794	-47.13014821	-1083.774942
TCGA-GC-A3OO-01	-578.4259214	-551.5899441	-1130.015865
TCGA-GC-A3RB-01	-1816.834727	-1011.977905	-2828.812632
TCGA-GC-A3RC-01	-822.0755744	436.5997674	-385.475807
TCGA-GC-A3RD-01	-1657.51434	-947.0756681	-2604.590008
TCGA-GC-A3WC-01	-687.3274172	690.3448422	3.017425029
TCGA-GC-A3YS-01	-147.8897775	-90.86818481	-238.7579623
TCGA-GC-A4ZW-01	-2208.43558	-1428.91202	-3637.347601
TCGA-GC-A6I1-01	-651.6892591	1450.433976	798.7447165
TCGA-GC-A6I3-01	-790.3605	571.1351517	-219.2253483
TCGA-GD-A2C5-01	-712.639654	-973.9675676	-1686.607222
TCGA-GD-A3OP-01	-444.1452728	-713.6135452	-1157.758818
TCGA-GD-A3OQ-01	-1620.049409	-820.3804961	-2440.429905
TCGA-GD-A3OS-01	-918.2517232	-1004.969715	-1923.221438
TCGA-GD-A6C6-01	-1553.019292	-765.0637523	-2318.083044
TCGA-GD-A76B-01	-1326.698854	292.3718398	-1034.327015
TCGA-GU-A42P-01	-2199.804253	-1667.29203	-3867.096282
TCGA-GU-A42Q-01	-1891.348685	-1276.401728	-3167.750413
TCGA-GU-A42R-01	-1985.785364	-1374.072398	-3359.857761
TCGA-GU-A762-01	-22.02591101	1482.180666	1460.154755
TCGA-GU-A763-01	-2491.649349	-838.5502925	-3330.199642
TCGA-GU-A764-01	-312.4354119	416.0408174	103.6054054
TCGA-GU-A766-01	-270.9184155	1572.958293	1302.039877
TCGA-GU-A767-01	-851.1469286	-993.2614282	-1844.408357
TCGA-GU-AATO-01	-620.436847	141.4830431	-478.9538039
TCGA-GU-AATP-01	-22.23186988	-251.4558505	-273.6877204
TCGA-GU-AATQ-01	-1696.219043	-710.3292695	-2406.548313
TCGA-GV-A3JV-01	-648.3270757	-413.7397965	-1062.066872
TCGA-GV-A3JW-01	-1896.399616	-1759.870853	-3656.27047
