sample	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-BT-A0S7-01	0.0947919	0.07848936	0.042897955	0.197175775	0.071482475	0.049987	0.047974544	0.035104214	0.128796713	0.116932925
TCGA-BT-A0YX-01	0.108627567	0.081713727	0.049180045	0.24620245	0.052859475	0.31859606	0.068468667	0.034116614	0.132852538	0.148341725
TCGA-BT-A20J-01	0.0957655	0.077909953	0.0579827	0.1867906	0.054418725	0.05658966	0.063664344	0.038815586	0.140345913	0.195802975
TCGA-BT-A20J-11	0.107140383	0.080200047	0.064898909	0.259669375	0.067068825	0.07086926	0.0717012	0.044506186	0.140100375	0.2114419
TCGA-BT-A20N-01	0.118199783	0.08513102	0.051861182	0.222464025	0.07453435	0.06837036	0.053922211	0.037110029	0.14849995	0.084161
TCGA-BT-A20N-11	0.115202683	0.082615953	0.069600173	0.26276995	0.072575425	0.06893424	0.062920756	0.042403986	0.142314013	0.17078985
TCGA-BT-A20O-01	0.09907565	0.0785969	0.099651773	0.2716662	0.059993	0.0687292	0.0908825	0.039243686	0.1321074	0.158044925
TCGA-BT-A20P-01	0.167416233	0.085417553	0.099016391	0.2658133	0.10274825	0.5065478	0.078373967	0.037615071	0.144477638	0.236412025
TCGA-BT-A20P-11	0.092486767	0.08488718	0.07787354	0.24364245	0.06826155	0.3879528	0.059934589	0.036517286	0.136453538	0.200189875
TCGA-BT-A20Q-01	0.096697533	0.084132187	0.092268218	0.22211795	0.0634547	0.06390024	0.060583278	0.041023986	0.138856038	0.178800025
TCGA-BT-A20R-01	0.10401085	0.065533787	0.093606536	0.2461385	0.0504486	0.2744424	0.050622	0.031290657	0.136909775	0.09784725
TCGA-BT-A20R-11	0.090588483	0.073792887	0.1029573	0.23577625	0.0655375	0.3704644	0.048568733	0.037254429	0.145274175	0.1272861
TCGA-BT-A20T-01	0.117198717	0.080692047	0.065837427	0.250500675	0.075939725	0.05921042	0.058909322	0.040055571	0.140950575	0.212089075
TCGA-BT-A20U-01	0.139179583	0.0708923	0.062058691	0.245947525	0.0643939	0.4928342	0.072101056	0.037964786	0.139896813	0.1800147
TCGA-BT-A20U-11	0.092921533	0.083353153	0.059216682	0.252133625	0.0649388	0.4827558	0.073651589	0.0399232	0.13970685	0.2077363
TCGA-BT-A20V-01	0.159709683	0.088275933	0.047291309	0.265353075	0.0581221	0.386026	0.0617234	0.035101243	0.136171825	0.07879985
TCGA-BT-A20V-11	0.09524175	0.079798973	0.062777445	0.260379675	0.0679968	0.4227212	0.067212056	0.038336757	0.13925565	0.2131706
TCGA-BT-A20W-01	0.120836967	0.076842587	0.086234973	0.2535492	0.066761125	0.06430688	0.061352922	0.037031857	0.138873763	0.239988125
TCGA-BT-A20W-11	0.107888983	0.087819013	0.103833727	0.256013625	0.0659753	0.06182216	0.064344633	0.042649657	0.1388713	0.20431615
TCGA-BT-A20X-01	0.085429417	0.06334142	0.049932636	0.221789525	0.0556527	0.06155632	0.056536533	0.029710857	0.130951538	0.172727025
TCGA-BT-A20X-11	0.087986183	0.066497087	0.073765927	0.226042525	0.062818	0.05465478	0.061957144	0.031774543	0.141470425	0.1660883
TCGA-BT-A2LA-01	0.082660017	0.036187247	0.044571827	0.121474075	0.048683125	0.04009234	0.0387128	0.028035071	0.128072538	0.040832825
TCGA-BT-A2LA-11	0.081712767	0.036602261	0.039555636	0.229692725	0.04859155	0.0432467	0.054790767	0.026356471	0.130486874	0.2130842
TCGA-BT-A2LB-01	0.08164275	0.040725473	0.039312173	0.19886925	0.048481125	0.2242866	0.037868289	0.025802786	0.136049525	0.1153922
TCGA-BT-A2LD-01	0.085857917	0.049119447	0.052125727	0.2388162	0.070347075	0.29214972	0.047195511	0.038398829	0.14173715	0.086393225
TCGA-BT-A3PH-01	0.10308875	0.044197087	0.066646182	0.105447025	0.093845325	0.04514042	0.040239567	0.0300789	0.128561113	0.053229975
TCGA-BT-A3PJ-01	0.118479983	0.04250106	0.030975518	0.17749265	0.0508556	0.0436271	0.043684256	0.0271036	0.133196088	0.057691925
TCGA-BT-A3PK-01	0.0843595	0.037217673	0.070959082	0.249322725	0.05237135	0.04506506	0.0440402	0.027509943	0.129688388	0.098954
TCGA-BT-A42B-01	0.146211	0.042222113	0.072468882	0.20550855	0.123163433	0.05380306	0.054295469	0.031395871	0.133708163	0.1685689
TCGA-BT-A42C-01	0.152016117	0.045420891	0.076347882	0.213214575	0.111894125	0.05329282	0.045734144	0.0305972	0.137447611	0.099782825
TCGA-BT-A42E-01	0.145406333	0.065225107	0.070166391	0.25796695	0.061974375	0.04862216	0.069405856	0.037580157	0.137244113	0.163996375
TCGA-BT-A42F-01	0.0875563	0.056460767	0.073479136	0.255628075	0.057293275	0.0441652	0.055314178	0.032805786	0.129522613	0.134285475
TCGA-C4-A0EZ-01	0.245869017	0.06244624	0.050710973	0.243573725	0.05879875	0.3675278	0.049757333	0.031536986	0.129114025	0.04914725
TCGA-C4-A0F0-01	0.10711775	0.058081387	0.048068455	0.231517375	0.1326292	0.06068608	0.084065889	0.034884971	0.099307063	0.062318775
TCGA-C4-A0F1-01	0.105699733	0.065850693	0.042372418	0.14820255	0.1051204	0.04785598	0.045983333	0.033100986	0.109119688	0.1542282
TCGA-C4-A0F6-01	0.139694617	0.0542656	0.070086309	0.23014795	0.081291675	0.33567872	0.056218156	0.040377071	0.129952763	0.180430825
TCGA-C4-A0F7-01	0.153738133	0.0727264	0.040716555	0.231374825	0.067924225	0.07145698	0.058278844	0.0287342	0.136232125	0.159329475
TCGA-CF-A1HR-01	0.088017933	0.07460838	0.082136109	0.219419	0.080763575	0.05805418	0.061014033	0.045493257	0.1367897	0.177458575
TCGA-CF-A1HS-01	0.141441233	0.0755219	0.081368473	0.2486355	0.132560525	0.4879364	0.057611089	0.050134457	0.125909963	0.081476
TCGA-CF-A27C-01	0.108048267	0.0636602	0.0815054	0.2064711	0.101723375	0.04643952	0.046427444	0.039743614	0.146002338	0.22300695
TCGA-CF-A3MF-01	0.14413295	0.053222973	0.078737327	0.2419274	0.0973832	0.0639871	0.039838622	0.031109143	0.113553613	0.229222225
TCGA-CF-A3MG-01	0.089905717	0.045307833	0.068213391	0.095614425	0.0613746	0.05260144	0.037466333	0.030712329	0.133839863	0.2620276
TCGA-CF-A3MH-01	0.0805889	0.051359813	0.072711155	0.146119475	0.061541225	0.05045926	0.039128544	0.033435943	0.138658338	0.191062875
TCGA-CF-A3MI-01	0.08235235	0.049412493	0.05351015	0.123458625	0.05370885	0.05355882	0.0409297	0.0313314	0.1360527	0.06323765
TCGA-CF-A47S-01	0.073613267	0.055227602	0.064813145	0.1704697	0.04900355	0.04712906	0.050599333	0.032767071	0.137762338	0.270472
TCGA-CF-A47T-01	0.08207245	0.054339791	0.032757564	0.137659025	0.06199735	0.479078	0.050077444	0.034426043	0.135764838	0.253796
TCGA-CF-A47V-01	0.094226717	0.05635304	0.069355864	0.176244025	0.053208875	0.0476216	0.0492319	0.034606857	0.135731138	0.277854625
TCGA-CF-A47W-01	0.081853517	0.06081122	0.039684191	0.2591395	0.051676475	0.04626952	0.052936833	0.034860014	0.138826338	0.1140764
TCGA-CF-A47X-01	0.089953633	0.0636991	0.075466782	0.17004085	0.0537373	0.05137312	0.051903944	0.042948714	0.136393538	0.2631412
TCGA-CF-A47Y-01	0.0765872	0.06198706	0.047117	0.259729225	0.053313225	0.04917214	0.056382111	0.041357729	0.136240513	0.2029668
TCGA-CF-A5U8-01	0.09871675	0.050043313	0.072640745	0.165605025	0.067889725	0.06149518	0.046528489	0.035471157	0.1284084	0.2605666
TCGA-CF-A5UA-01	0.186331467	0.04706056	0.082444755	0.244558825	0.062950225	0.04965396	0.065844233	0.032355429	0.125253925	0.192686275
TCGA-CF-A7I0-01	0.13156645	0.04320172	0.038779164	0.169970125	0.08274885	0.06152104	0.043756922	0.034816943	0.099899775	0.248055275
TCGA-CF-A8HX-01	0.135730283	0.040718243	0.051179491	0.064768	0.085710475	0.3754558	0.042520256	0.026403943	0.125089638	0.19946865
TCGA-CF-A8HY-01	0.0923443	0.0371865	0.072505436	0.0529779	0.06678795	0.04546478	0.041922133	0.028406	0.121796975	0.215692925
TCGA-CF-A9FF-01	0.084502467	0.046514879	0.077319127	0.121055175	0.113121025	0.05016482	0.040821111	0.029838929	0.12803295	0.241751
TCGA-CF-A9FH-01	0.082866633	0.04260084	0.0791599	0.161192875	0.06886085	0.04965974	0.041069811	0.026259186	0.13203235	0.259449175
TCGA-CF-A9FL-01	0.080662017	0.03902206	0.0721394	0.16962115	0.0743993	0.05450264	0.054947667	0.029591714	0.125501988	0.206853925
TCGA-CF-A9FM-01	0.0706105	0.0478158	0.095488345	0.044143625	0.0564315	0.0577873	0.051294689	0.029643014	0.12600785	0.268111575
TCGA-CU-A0YN-01	0.097170217	0.05242694	0.038728164	0.24257	0.1402672	0.05430186	0.0538712	0.030205886	0.123611613	0.0894817
TCGA-CU-A0YN-11	0.113028	0.0625773	0.053430518	0.220411625	0.077203075	0.05594618	0.057145178	0.032895514	0.118943775	0.18737665
TCGA-CU-A0YO-01	0.100848933	0.075729847	0.093102064	0.223997475	0.069348075	0.05416248	0.057390167	0.0373932	0.138107125	0.159243425
TCGA-CU-A0YR-01	0.13805045	0.076733493	0.046316645	0.22336985	0.089353975	0.056155	0.052322033	0.041054014	0.126647288	0.178146975
TCGA-CU-A0YR-11	0.118093633	0.066615513	0.045933191	0.219152825	0.0723575	0.0599347	0.0652538	0.034737657	0.110861825	0.202097925
TCGA-CU-A3KJ-01	0.1415827	0.05035218	0.070200209	0.198279775	0.083964175	0.06418456	0.0414758	0.033547843	0.122547475	0.200424425
TCGA-CU-A3QU-01	0.108567333	0.054416973	0.034938582	0.250629075	0.063603075	0.05215494	0.043992344	0.033948657	0.1304755	0.0452159
TCGA-CU-A3YL-01	0.11699065	0.041098587	0.035253927	0.207106875	0.070461125	0.05467638	0.052067578	0.034001514	0.131638363	0.259088675
TCGA-CU-A5W6-01	0.094538667	0.050031213	0.043694009	0.184721575	0.06670795	0.04901116	0.050101633	0.032301357	0.133608375	0.1632646
TCGA-CU-A72E-01	0.081886867	0.050987707	0.065654409	0.140182325	0.050704925	0.0485588	0.043306178	0.031228343	0.123597163	0.1830599
TCGA-DK-A1A3-01	0.086449183	0.07034918	0.0626984	0.202579475	0.06230905	0.0599126	0.051506967	0.037581771	0.122444275	0.144496575
TCGA-DK-A1A5-01	0.110273767	0.068699133	0.080861127	0.15098605	0.1163485	0.06196332	0.056242033	0.043339843	0.119341925	0.217232325
TCGA-DK-A1A6-01	0.151273933	0.06555916	0.045639218	0.22129885	0.149403475	0.05738224	0.075087511	0.047969043	0.116014288	0.2516818
TCGA-DK-A1A6-06	0.101075817	0.041051602	0.032937709	0.139514275	0.10374675	0.0485909	0.055885776	0.037330014	0.10924555	0.35475525
TCGA-DK-A1A7-01	0.129728317	0.07393984	0.083577827	0.16426285	0.0790698	0.21458154	0.055543944	0.043984029	0.126368425	0.069828175
